date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:07	59850/59850	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-e9ca%22	http://findmatthew.com/img/slides/walker-0.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/slides/walker-0.jpg	(from http://findmatthew.com/)
15:33:13	119836/119836	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-1d41c%22	http://findmatthew.com/img/slides/themall-1.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/slides/themall-1.jpg	(from http://findmatthew.com/)
15:33:17	2057/2057	---MCZ	200	added ('OK')	application/javascript	etag:W/%225851d53d-809%22	http://findmatthew.com/scripts/canvas.js	/home/nedim/websites/findmatthewssss/findmatthew.com/scripts/canvas.js	(from http://findmatthew.com/)
15:33:18	57249/57249	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-dfa1%22	http://findmatthew.com/img/slides/walker-2.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/slides/walker-2.jpg	(from http://findmatthew.com/)
15:33:19	87638/87638	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-15656%22	http://findmatthew.com/img/slides/walker-1.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/slides/walker-1.jpg	(from http://findmatthew.com/)
15:33:19	173662/173662	---M--	200	added ('OK')	image/jpeg	etag:%225851d53d-2a65e%22	http://findmatthew.com/img/slides/themall-0.jpg	/home/nedim/websites/findmatthewssss/findmatthew.com/img/slides/themall-0.jpg	(from http://findmatthew.com/)
15:33:19	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2018%20Jun%202019%2013:33:17%20GMT	https://fonts.googleapis.com/robots.txt		(from http://findmatthew.com/)
15:33:35	85332/85332	---M--	200	added ('OK')	font/woff2	etag:%225851d53d-14d54%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff2?v=1.5.54	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff2	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:33:41	110196/110196	---M--	200	added ('OK')	font/woff	etag:%225851d53d-1ae74%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff?v=1.5.54	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:33:45	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225851d53d-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?v=1.5.54	/home/nedim/websites/findmatthewssss/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
